address,balance_raw
0:8757acefe1dd7651a8d1fd08e4b2097e832f3c6678ef91d1fd37d12ad2c37a77,1500000000000
0:42c71364943f7f5b396c5811218e78f6066b2d2c8779db48c6c54a38c168a33a,1500000000000
0:69f93f81fea7448f4af78436336bee22019c198c3777e734dd97b8aad455be08,1500000000000
0:be0208354ac5f8abda1be3edd1f874d26bde723fa9e5af2d688886e30109696d,1500000000000
0:9572cd694de334a4524529bcdbf90e12fb77c7e851ee1eadf90d5d392de8f136,1500000000000
0:daea9195b530b17a86154a1953f2254b6e1580621a2c0e75e10f528455ac87b4,1500000000000
0:df869076702070386c6f82f733e6cc5a9a656ecd816cb35cb40c6e46ba52420c,1500000000000
0:be75c94078b13460389882d0785889c244f248c17eabff6c07e0db540f3af14d,1500000000000
0:ecb22230c930dcc1892abe93191dc58fd61cd0c6b92421c7232a7594c3d308bb,1500000000000
0:7392ee1d2063b86aedc401ebda230e7e2b3e7436ae6ceaf9aa4a6f68329f6647,1500000000000
0:b5cc9d34948493b64e80e58d1dac09669dd7cd9b9ba045025d6e6cf96c046473,1500000000000
0:cd72eaac82ffa6325deb96be08c2f08307df77515a6a300678a9b5fd3f604f92,1500000000000
0:0a7ebed0a1a8151fb83e2d1dc8fa377cfca35c8ec9e8e16c26f5ba0df5f5efa1,1500000000000
0:68f05258518d0a6732d5b048a8cf0c81924ede3c83bb16047728fd5b4c6ac459,1500000000000
0:927db0ae64571c705391049565e4d5e1cd4b9d7988040b240c95b612d04f3926,1500000000000
0:c1dc70e0880690045fed7f0ca819e2bc51c94ef0d9a4a2235d17e764abd2213d,1500000000000
0:7ce214235e5c7c593329b5f4e7b356fdec50edb327cdf0a5919f314fe3d372fc,1500000000000
0:ac95871c9b4ac923e0dffc6e2aa88fcd122ee22196112e499b36e817872293af,1500000000000
0:5b03ea6c9c74a3879d9d61bf70fd1bb46c6e389e0cb6bff7e3a3d49947cbac86,1500000000000
0:67d7fe06d400571e887907d82e58c3308fd6aa681d593620d36cdcd97a13b515,1500000000000
0:912c3c17c68f8aacb23775588b35ac4680a17f72d045d4545bc7431ab17d3c44,1500000000000
0:a1d98ba6f57d90fde0a0b5ebb3f8665f7e966143a5c5bb765c8fdae95e0546ec,1500000000000
0:6adf692ff4b379ff26f3e9ff1edba511cc13021aff6b7bab0e0b20c3f0946c0c,1500000000000
